index,group,original_filename,new_path,description
1,01-character-builder-flow,Screenshot 2026-07-08 at 9.32.53 AM.png,01-character-builder-flow/01-builder-start-use-character-creator-prompt.png,Initial prompt asking whether to use the character creator.
2,01-character-builder-flow,Screenshot 2026-07-08 at 9.33.01 AM.png,01-character-builder-flow/02-builder-basic-identity-race-class-background.png,"Builder step with race, subrace, class, and background fields."
3,01-character-builder-flow,Screenshot 2026-07-08 at 9.34.03 AM.png,01-character-builder-flow/03-builder-race-dropdown-open.png,Race selection dropdown open in the builder.
4,01-character-builder-flow,Screenshot 2026-07-08 at 9.34.13 AM.png,01-character-builder-flow/04-builder-racial-ability-scores-before-bonus.png,Ability score step before applying racial score bonus.
5,01-character-builder-flow,Screenshot 2026-07-08 at 9.34.23 AM.png,01-character-builder-flow/05-builder-racial-ability-scores-after-bonus.png,Ability score step showing score inputs and racial stat bonus area.
6,01-character-builder-flow,Screenshot 2026-07-08 at 9.34.27 AM.png,01-character-builder-flow/06-builder-skill-selection-empty.png,Skill selection step before choosing skills.
7,01-character-builder-flow,Screenshot 2026-07-08 at 9.34.38 AM.png,01-character-builder-flow/07-builder-skill-selection-chosen.png,Skill selection step with chosen proficiencies checked.
8,01-character-builder-flow,Screenshot 2026-07-08 at 9.34.43 AM.png,01-character-builder-flow/08-builder-hit-points-class-resource-level-1.png,Hit points step showing current/next level HP and class resource display.
9,01-character-builder-flow,Screenshot 2026-07-08 at 9.34.59 AM.png,01-character-builder-flow/09-builder-starting-equipment-options-empty.png,Starting equipment step showing equipment choice groups before selection.
10,01-character-builder-flow,Screenshot 2026-07-08 at 9.35.07 AM.png,01-character-builder-flow/10-builder-starting-equipment-options-selected.png,Starting equipment step with several equipment choices selected.
11,01-character-builder-flow,Screenshot 2026-07-08 at 9.35.11 AM.png,01-character-builder-flow/11-builder-finish-character-confirmation.png,Finish character confirmation dialog.
12,02-editable-character-sheet,Screenshot 2026-07-08 at 9.35.18 AM.png,02-editable-character-sheet/01-edit-character-name-modal.png,Character sheet edit modal for character name.
13,02-editable-character-sheet,Screenshot 2026-07-08 at 9.35.30 AM.png,02-editable-character-sheet/02-character-sheet-main-stats-overview.png,Main character sheet overview after creation.
14,02-editable-character-sheet,Screenshot 2026-07-08 at 9.35.34 AM.png,02-editable-character-sheet/03-edit-initiative-modal.png,Initiative edit modal with proficiency/half proficiency and misc modifier controls.
15,02-editable-character-sheet,Screenshot 2026-07-08 at 9.35.41 AM.png,02-editable-character-sheet/04-edit-death-saves-display-modal.png,Death saves and HP display edit modal.
16,02-editable-character-sheet,Screenshot 2026-07-08 at 9.35.46 AM.png,02-editable-character-sheet/05-edit-hit-points-modal.png,"Hit points edit modal with damage, heal, and temporary HP controls."
17,02-editable-character-sheet,Screenshot 2026-07-08 at 9.35.56 AM.png,02-editable-character-sheet/06-edit-speed-and-movement-modal.png,Speed and movement edit modal.
18,02-editable-character-sheet,Screenshot 2026-07-08 at 9.36.00 AM.png,02-editable-character-sheet/07-edit-hit-dice-use-regain-modal.png,Use/regain hit dice edit modal.
19,02-editable-character-sheet,Screenshot 2026-07-08 at 9.36.05 AM.png,02-editable-character-sheet/08-edit-hit-dice-pool-modal.png,Hit dice pool edit modal with extra hit dice controls.
20,02-editable-character-sheet,Screenshot 2026-07-08 at 9.36.10 AM.png,02-editable-character-sheet/09-edit-armor-class-modal.png,"Armor class edit modal with armor, shield, dex, magic, and additional modifier controls."
21,02-editable-character-sheet,Screenshot 2026-07-08 at 9.36.15 AM.png,02-editable-character-sheet/10-edit-proficiency-bonus-modal.png,Proficiency bonus edit modal.
22,02-editable-character-sheet,Screenshot 2026-07-08 at 9.36.30 AM.png,02-editable-character-sheet/11-edit-ability-scores-and-save-proficiencies-modal.png,Ability score and saving throw proficiency edit modal.
23,02-editable-character-sheet,Screenshot 2026-07-08 at 9.36.34 AM.png,02-editable-character-sheet/12-edit-saving-throw-bonuses-modal.png,Saving throw bonus edit modal for all ability saves.
24,02-editable-character-sheet,Screenshot 2026-07-08 at 9.36.40 AM.png,02-editable-character-sheet/13-edit-all-save-bonus-type-dropdown.png,Saving throw bonus modal with all-save bonus type dropdown open.
25,02-editable-character-sheet,Screenshot 2026-07-08 at 9.37.24 AM.png,02-editable-character-sheet/14-skills-page-overview.png,Skills page overview with all skill rows and bonuses.
26,02-editable-character-sheet,Screenshot 2026-07-08 at 9.37.32 AM.png,02-editable-character-sheet/15-edit-athletics-skill-proficiency-modal.png,Athletics skill edit modal with proficiency options.
27,02-editable-character-sheet,Screenshot 2026-07-08 at 9.37.37 AM.png,02-editable-character-sheet/16-edit-history-skill-proficiency-modal.png,History skill edit modal with proficiency options.
28,02-editable-character-sheet,Screenshot 2026-07-08 at 9.38.11 AM.png,02-editable-character-sheet/17-weapons-page-overview.png,Weapons/combat page overview with attack tiles and resource display.
29,02-editable-character-sheet,Screenshot 2026-07-08 at 9.38.24 AM.png,02-editable-character-sheet/18-edit-resource-display-settings-modal.png,Resource display settings modal for class/resource display and display text.
30,02-editable-character-sheet,Screenshot 2026-07-08 at 9.38.27 AM.png,02-editable-character-sheet/19-edit-resource-dice-and-size-modal.png,"Resource edit modal showing max value, die size, size, and spending/rest controls."
31,02-editable-character-sheet,Screenshot 2026-07-08 at 9.38.32 AM.png,02-editable-character-sheet/20-edit-resource-name-display-text-row.png,Resource edit modal focused on resource name and display text row.
32,02-editable-character-sheet,Screenshot 2026-07-08 at 9.38.44 AM.png,02-editable-character-sheet/21-edit-resource-type-dropdown-open.png,Resource edit modal with resource type dropdown open.
33,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.00 AM.png,02-editable-character-sheet/22-edit-weapon-attack-bonus-modal.png,Weapon attack bonus edit modal.
34,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.07 AM.png,02-editable-character-sheet/23-edit-weapon-attack-damage-modal.png,Weapon attack damage edit modal.
35,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.11 AM.png,02-editable-character-sheet/24-edit-weapon-damage-extra-dice-modal.png,Weapon damage edit modal with extra damage die controls.
36,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.19 AM.png,02-editable-character-sheet/25-add-weapon-empty-form.png,Add weapon modal blank/custom weapon form.
37,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.22 AM.png,02-editable-character-sheet/26-add-weapon-simple-melee-club-details.png,Add weapon modal showing simple melee club details.
38,02-editable-character-sheet,Screenshot 2026-07-08 at 9.39.27 AM.png,02-editable-character-sheet/27-add-weapon-simple-melee-category-dropdown.png,Add weapon modal with simple/martial/custom weapon category dropdown.
